metric,source,M,E,synergy,SE,p,pFDR
Nerve firing rate (RVN),nerve,10,10,-0.637179561067335,0.670045925810367,0.349229179728075,0.392882827194085
Nerve firing rate (RVN),nerve,50,10,-1.08135759535966,0.670045925810366,0.117029573010471,0.264530886190537
Nerve firing rate (RVN),nerve,100,10,-1.24846828649304,0.668767065475667,0.0717273617277559,0.264530886190537
Nerve firing rate (RVN),nerve,10,100,0.712788715598587,0.668767065475667,0.295005773536107,0.379293137403567
Nerve firing rate (RVN),nerve,50,100,1.09413723012009,0.672977225909819,0.114449430323052,0.264530886190537
Nerve firing rate (RVN),nerve,100,100,1.07763900349365,0.668767065475667,0.11756928275135,0.264530886190537
Nerve firing rate (RVN),nerve,10,1000,-0.20658350589126,0.668767065475667,0.759531149693163,0.759531149693163
Nerve firing rate (RVN),nerve,50,1000,-0.857206137664411,0.668767065475667,0.209741107237477,0.314611660856216
Nerve firing rate (RVN),nerve,100,1000,-0.988003947478339,0.668767065475667,0.150003538551478,0.27000636939266
Nerve firing rate (LVN),nerve,10,10,0.604758790673979,0.664072079732025,0.369722276515154,0.665500097727277
Nerve firing rate (LVN),nerve,50,10,-0.89207590852847,0.664072079732025,0.189235536059685,0.425779956134292
Nerve firing rate (LVN),nerve,100,10,-0.182039104860928,0.662910887999025,0.785501437293795,0.865593051209859
Nerve firing rate (LVN),nerve,10,100,0.113169681697087,0.662910887999025,0.865593051209859,0.865593051209859
Nerve firing rate (LVN),nerve,50,100,-0.324166907384277,0.66702483757731,0.630505828970885,0.817415190038873
Nerve firing rate (LVN),nerve,100,100,0.317199035355564,0.662910887999025,0.635767370030234,0.817415190038873
Nerve firing rate (LVN),nerve,10,1000,-1.05149505743949,0.662910887999025,0.123184558048874,0.425779956134292
Nerve firing rate (LVN),nerve,50,1000,-0.99101089341514,0.662910887999025,0.145376223189888,0.425779956134292
Nerve firing rate (LVN),nerve,100,1000,-1.35896901650597,0.662910887999025,0.0491925657445463,0.425779956134292
Vpp (RVN),nerve,10,10,0.217845302388566,0.164984730698356,0.196688232096023,0.885097044432105
Vpp (RVN),nerve,50,10,-0.0642083376936466,0.164984730698356,0.699893710679141,0.906590165098549
Vpp (RVN),nerve,100,10,0.0359771835015706,0.164633503107536,0.828496835549141,0.932058939992784
Vpp (RVN),nerve,10,100,-0.0711382913301926,0.164633503107536,0.668758079543976,0.906590165098549
Vpp (RVN),nerve,50,100,0.364739805052676,0.165679776986903,0.035533754272908,0.319803788456172
Vpp (RVN),nerve,100,100,-0.0628963574451917,0.164633503107536,0.705125683965538,0.906590165098549
Vpp (RVN),nerve,10,1000,-0.00735692801284029,0.164633503107536,0.96465316258137,0.96465316258137
Vpp (RVN),nerve,50,1000,0.0924206320587581,0.164633503107536,0.578713761552593,0.906590165098549
Vpp (RVN),nerve,100,1000,0.0949551860190346,0.164633503107536,0.568399777179375,0.906590165098549
Vpp (LVN),nerve,10,10,0.0923538470551002,0.168902843052049,0.588569578901888,0.761419515797799
Vpp (LVN),nerve,50,10,-0.143822547739994,0.168902843052049,0.401232031611689,0.761419515797799
Vpp (LVN),nerve,100,10,0.0670030474342055,0.16863596708629,0.693941739084885,0.761419515797799
Vpp (LVN),nerve,10,100,-0.0516694031294234,0.16863596708629,0.761419515797799,0.761419515797799
Vpp (LVN),nerve,50,100,-0.125217262132634,0.169661008937908,0.466222313988827,0.761419515797799
Vpp (LVN),nerve,100,100,-0.135408360528389,0.16863596708629,0.428312439244849,0.761419515797799
Vpp (LVN),nerve,10,1000,-0.0756969164676611,0.16863596708629,0.656745762800429,0.761419515797799
Vpp (LVN),nerve,50,1000,-0.120008311588584,0.16863596708629,0.482184467753384,0.761419515797799
Vpp (LVN),nerve,100,1000,0.12163913024872,0.16863596708629,0.476301926937886,0.761419515797799
FWHM (RVN),nerve,10,10,0.000897630376010935,0.161837855320075,0.995611291503377,0.995611291503378
FWHM (RVN),nerve,50,10,0.00423863841092713,0.161837855320075,0.97927872082019,0.995611291503378
FWHM (RVN),nerve,100,10,0.652375240297644,0.161837855320075,0.00035059559330549,0.00315536033974941
FWHM (RVN),nerve,10,100,-0.213174050560379,0.161837855320075,0.197741726930515,0.593225180791546
FWHM (RVN),nerve,50,100,-0.0897898344482018,0.161837855320075,0.583135482199891,0.805053128409969
FWHM (RVN),nerve,100,100,-0.0935617752085071,0.161837855320075,0.567497516304353,0.805053128409969
FWHM (RVN),nerve,10,1000,-0.0796585110302476,0.161837855320075,0.626152433207754,0.805053128409969
FWHM (RVN),nerve,50,1000,-0.220806153701095,0.161837855320075,0.182600413121865,0.593225180791546
FWHM (RVN),nerve,100,1000,-0.157664368584831,0.161837855320075,0.337741737368812,0.759918909079826
FWHM (LVN),nerve,10,10,-0.114360574825691,0.353423169391065,0.748501214339943,0.895690788858786
FWHM (LVN),nerve,50,10,-0.0872532484430024,0.353423169391065,0.806682449427174,0.895690788858786
FWHM (LVN),nerve,100,10,1.0440698418754,0.353423169391065,0.00604655402555367,0.0544189862299831
FWHM (LVN),nerve,10,100,-0.109538327526132,0.353423169391065,0.758752934817684,0.895690788858786
FWHM (LVN),nerve,50,100,-0.0467306587826972,0.353423169391065,0.895690788858786,0.895690788858786
FWHM (LVN),nerve,100,100,0.179451091104931,0.353423169391065,0.615340698238991,0.895690788858786
FWHM (LVN),nerve,10,1000,-0.138730757335409,0.353423169391065,0.697438574298349,0.895690788858786
FWHM (LVN),nerve,50,1000,-0.275857333713754,0.353423169391065,0.441194643219475,0.895690788858786
FWHM (LVN),nerve,100,1000,-0.0521754293698687,0.353423169391065,0.883623492660453,0.895690788858786
CV2 (RVN),nerve,10,10,0.0125004815709718,0.0880047479681142,0.887995476873776,0.923881763080514
CV2 (RVN),nerve,50,10,0.0191292246857952,0.0880047479681142,0.829394865315607,0.923881763080514
CV2 (RVN),nerve,100,10,0.109682436825346,0.0878619525296333,0.221558087219345,0.664674261658036
CV2 (RVN),nerve,10,100,-0.0344130934894696,0.0878619525296334,0.698068768671181,0.923881763080514
CV2 (RVN),nerve,50,100,0.381085998144437,0.0883991092145344,0.000161441348249794,0.00145297213424814
CV2 (RVN),nerve,100,100,-0.0644066739398651,0.0878619525296334,0.469221228101608,0.923881763080514
CV2 (RVN),nerve,10,1000,0.14581908120919,0.0878619525296334,0.10740660522977,0.483329723533966
CV2 (RVN),nerve,50,1000,-0.00846567963376168,0.0878619525296334,0.923881763080513,0.923881763080514
CV2 (RVN),nerve,100,1000,0.037963069417993,0.0878619525296333,0.66877577140397,0.923881763080514
CV2 (LVN),nerve,10,10,0.115489029873984,0.13502116379815,0.399142691783324,0.678222547632438
CV2 (LVN),nerve,50,10,-0.0388259808199654,0.13502116379815,0.775664650186678,0.775664650186678
CV2 (LVN),nerve,100,10,0.0490998361585634,0.13502116379815,0.718672967378619,0.775664650186678
CV2 (LVN),nerve,10,100,-0.0769933504944737,0.13502116379815,0.572766865331974,0.736414541141109
CV2 (LVN),nerve,50,100,0.283522400670828,0.13502116379815,0.0442578893521324,0.398321004169192
CV2 (LVN),nerve,100,100,0.184967277412317,0.13502116379815,0.180880488579625,0.542641465738875
CV2 (LVN),nerve,10,1000,0.102854240640853,0.13502116379815,0.452148365088292,0.678222547632438
CV2 (LVN),nerve,50,1000,-0.124149088959449,0.13502116379815,0.365179714268992,0.678222547632438
CV2 (LVN),nerve,100,1000,0.234661296372634,0.13502116379815,0.0924744599864007,0.416135069938803
Total firing rate (LVN+RVN),nerve,10,10,-0.216305459576626,0.587494824641451,0.715322242171826,0.715322242171826
Total firing rate (LVN+RVN),nerve,50,10,-1.01316270672065,0.587494824641451,0.094899925139257,0.269079772069615
